#  N      python     python-parallel    julia-serial    julia-parallel
10000     0.0266530     0.056994915        0.024137      0.006750 
50000     0.1407339     0.167294502        0.116708      0.026640 
100000    0.2635438     0.316551446        0.235827      0.055520 
200000    0.5470619     0.641544580        0.577905      0.111809 
300000    0.8563711     0.836227893        0.929066      0.208767 
400000    1.1249668     1.235788106        1.268387      0.284594 
500000    1.4170343     1.554531574        1.629468      0.373317 
600000    1.6941277     1.779597282        1.989862      0.508801 
700000    2.0091958     2.119302272        2.284965      0.510569 
800000    2.4529058     2.465498924        2.666500      0.565254 
900000    2.5358996     2.676106214        3.042206      0.727124 
1000000  2.8374471      3.096881151        3.430348      0.694814 
1500000  4.4109890      4.672286510        5.306491      1.164187 
2000000  6.2828235      6.198250055        7.186193      1.521344 
3000000  11.530809      9.616283178       11.039985      2.425663 
4000000  20.2863495     13.27134561       16.459469      3.305224 
5000000  25.451620      19.04714465       19.432587      4.337651 
6000000  39.194650      23.71540880       23.319185      5.297500 
7000000  49.8677732     29.17840218       26.824448      5.930634 
8000000  59.4872786     36.65862822       31.051261      6.365630 
9000000  76.0755500     42.93665599       35.661089      7.303385 
10000000 92.3296999     50.47215747       39.094714      8.273297 


















































