#   N     python-serial   python-parallel         julia-serial     julia-parallel
10000     0.06275415       0.066103935             0.009386            0.003611
50000     0.18762779       0.168724060             0.096881            0.027022
100000    0.36704373       0.317125558             0.337667            0.074306
200000    0.83926558       0.645816326             1.209017            0.323751
300000    1.59529948       0.874869346             2.448622            0.493174
400000    2.79236888       1.302515745             3.886505            0.870394
500000    3.88768148       1.753487348             5.600529            1.369734
600000    5.25956320       2.052203178             7.702271            2.072680
700000    7.10792803       2.695926666            10.758259            2.832453
800000    8.99856114       3.408551931            13.682694            4.225072
900000    11.3427312       3.739826917            17.601142            6.516640
1000000   13.4954769       4.789931297            21.590958            7.747789
1500000   29.4975237       8.338554143            48.164392           17.127321
2000000   51.8693690       16.18275070            87.649296           29.938261
3000000   106.864570       34.46977019           204.319314           66.357701
