# N    serial-halotools-0.8.2  8-cores-halotool-0.8.2 serial-CellListMap.jl 8-cores-CellListMap.jl
10000  	0.0263118  	0.034621	0.004384379	    0.001798651
50000  	0.0841698  	0.086734 0.034635677	    0.010633628
100000  0.1623215  	0.178363	0.084639314	    0.023468727
200000  0.4009218  	0.374009	0.239999705	    0.058231645
300000  0.7857863  	0.481099	0.446977235	    0.099137313
400000  1.2901713  	0.742872	0.713442022	    0.15925589
500000  1.9251759  	0.959308	1.043757674	    0.221851129
600000  2.6611557    1.131821	1.425627021	    0.303403253
700000  3.5803134  	1.371076	1.85903999	    0.42908987
800000  4.6051709  	1.691115	2.368400436	    0.507082744
900000  5.6954550  	1.906730	2.917126429	    0.634424977
1.0e6	6.9065299  	2.276669	3.487818557	    0.76674823
1.5e6	15.253654  	4.028840	7.327636506	    1.597279759
2.0e6	26.660796    6.031670 12.396003155   	2.760629983
3.0e6	57.943774    11.61248	26.613180917   	5.737396456












































